Node, run , hit , miss , und , Acc , Filtro 
2 ,49 ,389.0 ,53.0 ,88.0 ,0.307413503852 ,0.33
3 ,49 ,353.0 ,69.0 ,108.0 ,0.326006605968 ,0.33
1 ,50 ,419.0 ,90.0 ,21.0 ,0.31761012976 ,0.33
2 ,50 ,405.0 ,58.0 ,67.0 ,0.327579866976 ,0.33
3 ,50 ,412.0 ,37.0 ,81.0 ,0.324943489391 ,0.33
1 ,51 ,427.0 ,80.0 ,23.0 ,0.303265220126 ,0.33
2 ,51 ,426.0 ,36.0 ,68.0 ,0.297954515712 ,0.33
3 ,51 ,436.0 ,34.0 ,60.0 ,0.332792002871 ,0.33
1 ,52 ,411.0 ,98.0 ,21.0 ,0.332939925763 ,0.33
2 ,52 ,376.0 ,73.0 ,81.0 ,0.322282108243 ,0.33
3 ,52 ,365.0 ,53.0 ,112.0 ,0.305158416955 ,0.33
1 ,53 ,433.0 ,83.0 ,14.0 ,0.311342738056 ,0.33
2 ,53 ,386.0 ,63.0 ,81.0 ,0.302953149938 ,0.33
3 ,53 ,409.0 ,39.0 ,82.0 ,0.324289170856 ,0.33
1 ,54 ,442.0 ,71.0 ,17.0 ,0.299780396006 ,0.33
2 ,54 ,399.0 ,47.0 ,84.0 ,0.290219163897 ,0.33
3 ,54 ,366.0 ,61.0 ,103.0 ,0.30207527644 ,0.33
1 ,55 ,424.0 ,93.0 ,13.0 ,0.323668196906 ,0.33
2 ,55 ,379.0 ,62.0 ,89.0 ,0.298324890777 ,0.33
3 ,55 ,406.0 ,42.0 ,82.0 ,0.295243454698 ,0.33
1 ,56 ,430.0 ,85.0 ,15.0 ,0.284604358792 ,0.33
2 ,56 ,382.0 ,66.0 ,82.0 ,0.31091716096 ,0.33
3 ,56 ,366.0 ,60.0 ,104.0 ,0.301227994513 ,0.33
1 ,57 ,418.0 ,98.0 ,14.0 ,0.321367297021 ,0.33
2 ,57 ,390.0 ,57.0 ,83.0 ,0.303398595874 ,0.33
3 ,57 ,378.0 ,57.0 ,95.0 ,0.326360924383 ,0.33
1 ,58 ,420.0 ,90.0 ,20.0 ,0.307822645803 ,0.33
2 ,58 ,398.0 ,48.0 ,84.0 ,0.308074875561 ,0.33
3 ,58 ,368.0 ,59.0 ,103.0 ,0.31924693604 ,0.33
1 ,59 ,422.0 ,90.0 ,18.0 ,0.293974643608 ,0.33
2 ,59 ,373.0 ,66.0 ,91.0 ,0.297707518765 ,0.33
3 ,59 ,370.0 ,53.0 ,107.0 ,0.297063230523 ,0.33
1 ,60 ,394.0 ,97.0 ,39.0 ,0.309085339618 ,0.5
2 ,60 ,352.0 ,51.0 ,127.0 ,0.313308752105 ,0.5
3 ,60 ,340.0 ,39.0 ,151.0 ,0.301451501501 ,0.5
1 ,61 ,399.0 ,106.0 ,25.0 ,0.301331886862 ,0.5
2 ,61 ,420.0 ,30.0 ,80.0 ,0.30205192394 ,0.5
3 ,61 ,414.0 ,19.0 ,97.0 ,0.312262120802 ,0.5
1 ,62 ,419.0 ,80.0 ,31.0 ,0.317917737253 ,0.5
2 ,62 ,431.0 ,26.0 ,73.0 ,0.297530811164 ,0.5
3 ,62 ,416.0 ,20.0 ,94.0 ,0.306680329294 ,0.5
1 ,63 ,396.0 ,104.0 ,30.0 ,0.319937333774 ,0.5
2 ,63 ,403.0 ,32.0 ,95.0 ,0.319328030715 ,0.5
3 ,63 ,347.0 ,38.0 ,145.0 ,0.311393920023 ,0.5
1 ,64 ,396.0 ,97.0 ,37.0 ,0.308012629719 ,0.5
2 ,64 ,369.0 ,40.0 ,121.0 ,0.301353459524 ,0.5
3 ,64 ,339.0 ,41.0 ,150.0 ,0.322006197334 ,0.5
1 ,65 ,424.0 ,85.0 ,21.0 ,0.304873793754 ,0.5
2 ,65 ,385.0 ,43.0 ,102.0 ,0.32719286722 ,0.5
3 ,65 ,400.0 ,28.0 ,102.0 ,0.310661464414 ,0.5
1 ,66 ,406.0 ,94.0 ,30.0 ,0.305954470741 ,0.5
2 ,66 ,361.0 ,48.0 ,121.0 ,0.289954266023 ,0.5
3 ,66 ,365.0 ,32.0 ,133.0 ,0.308935188998 ,0.5
1 ,67 ,400.0 ,93.0 ,37.0 ,0.303224481118 ,0.5
2 ,67 ,350.0 ,54.0 ,126.0 ,0.305061713139 ,0.5
3 ,67 ,340.0 ,31.0 ,159.0 ,0.302133312743 ,0.5
1 ,68 ,421.0 ,86.0 ,23.0 ,0.321575130139 ,0.5
2 ,68 ,352.0 ,49.0 ,129.0 ,0.322062824858 ,0.5
3 ,68 ,341.0 ,27.0 ,162.0 ,0.291268738854 ,0.5
1 ,69 ,421.0 ,86.0 ,23.0 ,0.293468251731 ,0.5
2 ,69 ,381.0 ,40.0 ,109.0 ,0.308983134566 ,0.5
3 ,69 ,401.0 ,27.0 ,102.0 ,0.325112892518 ,0.5
1 ,70 ,392.0 ,98.0 ,40.0 ,0.304647504149 ,0.5
2 ,70 ,359.0 ,39.0 ,132.0 ,0.328081020215 ,0.5
3 ,70 ,338.0 ,33.0 ,159.0 ,0.312016287709 ,0.5
1 ,71 ,403.0 ,97.0 ,30.0 ,0.316378924829 ,0.5
2 ,71 ,398.0 ,37.0 ,95.0 ,0.305838981781 ,0.5
3 ,71 ,346.0 ,35.0 ,149.0 ,0.30047735853 ,0.5
1 ,72 ,411.0 ,80.0 ,39.0 ,0.313652337553 ,0.5
2 ,72 ,372.0 ,36.0 ,122.0 ,0.305211646359 ,0.5
3 ,72 ,376.0 ,26.0 ,128.0 ,0.2908191172 ,0.5
1 ,73 ,393.0 ,96.0 ,41.0 ,0.311338545089 ,0.5
2 ,73 ,355.0 ,54.0 ,121.0 ,0.319554507164 ,0.5
3 ,73 ,344.0 ,45.0 ,141.0 ,0.310807697991 ,0.5
1 ,74 ,405.0 ,95.0 ,30.0 ,0.307591780357 ,0.5
2 ,74 ,392.0 ,33.0 ,105.0 ,0.308027249752 ,0.5
3 ,74 ,339.0 ,32.0 ,159.0 ,0.292464456438 ,0.5
1 ,75 ,421.0 ,88.0 ,21.0 ,0.296919255266 ,0.5
2 ,75 ,352.0 ,36.0 ,142.0 ,0.310977755215 ,0.5
3 ,75 ,386.0 ,31.0 ,113.0 ,0.294291192753 ,0.5
1 ,76 ,416.0 ,86.0 ,28.0 ,0.307837156948 ,0.5
2 ,76 ,358.0 ,47.0 ,125.0 ,0.321485835059 ,0.5
3 ,76 ,344.0 ,40.0 ,146.0 ,0.313560213465 ,0.5
1 ,77 ,418.0 ,85.0 ,27.0 ,0.315960816717 ,0.5
2 ,77 ,345.0 ,54.0 ,131.0 ,0.297399394032 ,0.5
3 ,77 ,320.0 ,49.0 ,161.0 ,0.298404115927 ,0.5
1 ,78 ,410.0 ,95.0 ,25.0 ,0.309959757715 ,0.5
2 ,78 ,412.0 ,34.0 ,84.0 ,0.312428201613 ,0.5
3 ,78 ,417.0 ,28.0 ,85.0 ,0.304409533791 ,0.5
1 ,79 ,390.0 ,103.0 ,37.0 ,0.303782489309 ,0.5
2 ,79 ,401.0 ,33.0 ,96.0 ,0.293856414413 ,0.5
3 ,79 ,349.0 ,37.0 ,144.0 ,0.314397229149 ,0.5
1 ,80 ,400.0 ,107.0 ,23.0 ,0.322335977693 ,0.5
2 ,80 ,355.0 ,41.0 ,134.0 ,0.312975609109 ,0.5
3 ,80 ,378.0 ,31.0 ,121.0 ,0.326415807827 ,0.5
1 ,81 ,420.0 ,70.0 ,40.0 ,0.289507699003 ,0.5
2 ,81 ,398.0 ,36.0 ,96.0 ,0.321357050536 ,0.5
3 ,81 ,405.0 ,28.0 ,97.0 ,0.337495352322 ,0.5
1 ,82 ,400.0 ,90.0 ,40.0 ,0.300045259422 ,0.5
2 ,82 ,392.0 ,38.0 ,100.0 ,0.32611470267 ,0.5
3 ,82 ,403.0 ,26.0 ,101.0 ,0.338395950883 ,0.5
1 ,83 ,406.0 ,94.0 ,30.0 ,0.32365926587 ,0.5
2 ,83 ,413.0 ,26.0 ,91.0 ,0.28798468403 ,0.5
3 ,83 ,410.0 ,14.0 ,106.0 ,0.308667820473 ,0.5
1 ,84 ,404.0 ,99.0 ,27.0 ,0.316874215111 ,0.5
2 ,84 ,426.0 ,28.0 ,76.0 ,0.314762770355 ,0.5
3 ,84 ,337.0 ,47.0 ,146.0 ,0.303667687508 ,0.5
1 ,85 ,405.0 ,93.0 ,32.0 ,0.304109682959 ,0.5
2 ,85 ,378.0 ,42.0 ,110.0 ,0.30706451304 ,0.5
3 ,85 ,338.0 ,47.0 ,145.0 ,0.312381143353 ,0.5
1 ,86 ,389.0 ,99.0 ,42.0 ,0.295752800975 ,0.5
2 ,86 ,361.0 ,43.0 ,126.0 ,0.313300161525 ,0.5
3 ,86 ,328.0 ,55.0 ,147.0 ,0.314443895235 ,0.5
1 ,87 ,409.0 ,83.0 ,38.0 ,0.306796283807 ,0.5
2 ,87 ,397.0 ,31.0 ,102.0 ,0.303540621303 ,0.5
3 ,87 ,412.0 ,18.0 ,100.0 ,0.336204670551 ,0.5
1 ,88 ,393.0 ,105.0 ,32.0 ,0.299610500714 ,0.5
2 ,88 ,366.0 ,38.0 ,126.0 ,0.310146410083 ,0.5
3 ,88 ,357.0 ,41.0 ,132.0 ,0.314197919015 ,0.5
1 ,89 ,410.0 ,84.0 ,36.0 ,0.308280353646 ,0.5
2 ,89 ,379.0 ,31.0 ,120.0 ,0.272717496779 ,0.5
3 ,89 ,343.0 ,34.0 ,153.0 ,0.306562884431 ,0.5
